股票代码,股票名称,信号日期,收盘价,MACD评分,成交量比率,MA60距离%,评级,补充特征分,MACD满足,成交量满足,MA60满足,未来5日涨幅%,未来涨幅满足
sz.300121,阳谷华泰,2026-01-09,13.32,80,2.42,-7.62,A级,35,True,True,True,6.23,True
sh.603138,海量数据,2025-11-25,15.59,60,3.16,-0.38,B级,20,True,True,True,2.18,True
sz.002524,光正眼科,2025-04-18,3.8,80,2.07,-2.72,B级,25,True,True,True,6.58,True
sh.600015,华夏银行,2025-10-14,6.74,60,2.02,-10.53,C级,10,True,True,True,2.23,True
sz.002082,万邦德,2025-12-25,13.42,80,2.08,-0.7,B级,20,True,True,True,7.08,True
sh.603757,大元泵业,2025-12-10,38.48,80,2.47,-6.4,A级,35,True,True,True,8.63,True
sh.603757,大元泵业,2025-12-11,37.1,65,2.39,-9.27,B级,25,True,True,True,19.16,True
sh.603757,大元泵业,2025-12-12,37.11,65,2.31,-10.53,B级,25,True,True,True,27.43,True
sh.603757,大元泵业,2025-12-16,38.0,80,2.09,-6.67,A级,30,True,True,True,39.11,True
sh.603757,大元泵业,2025-12-17,41.8,80,3.08,0.49,B级,25,True,True,True,26.46,True
sh.603194,中力股份,2025-12-25,38.56,60,2.96,-1.23,A级,45,True,True,True,3.66,True
sh.603194,中力股份,2025-12-26,37.9,60,3.54,-1.75,A级,45,True,True,True,8.58,True
sh.603194,中力股份,2025-12-29,37.64,65,3.26,-1.51,A级,30,True,True,True,9.33,True
sz.300412,迦南科技,2025-06-06,5.02,80,2.0,-0.46,A级,30,True,True,True,2.19,True
sz.300805,电声股份,2025-04-22,10.38,65,3.47,-0.82,C级,10,True,True,True,2.31,True
sz.300805,电声股份,2025-04-23,10.32,65,2.0,-2.48,C级,10,True,True,True,3.59,True
sz.001268,联合精密,2025-11-14,32.87,80,2.07,0.39,B级,20,True,True,True,9.98,True
sz.300969,恒帅股份,2025-06-26,65.9,80,6.8,-0.04,B级,25,True,True,True,4.22,True
sh.688750,金天钛业,2025-12-09,18.72,80,2.06,-6.64,C级,10,True,True,True,4.59,True
sh.688750,金天钛业,2025-12-11,18.77,80,2.02,-4.85,B级,20,True,True,True,4.32,True
sh.688750,金天钛业,2025-12-12,18.89,80,2.12,-5.19,B级,20,True,True,True,3.65,True
sz.300257,开山股份,2026-01-12,14.85,80,2.33,-0.89,A级,35,True,True,True,31.31,True
sz.300257,开山股份,2026-01-13,14.85,80,2.41,0.42,B级,20,True,True,True,31.31,True
sz.301278,快可电子,2025-05-23,32.25,65,2.0,-0.98,C级,10,True,True,True,2.26,True
sh.603028,赛福天,2025-12-24,7.94,80,2.96,0.2,B级,20,True,True,True,18.39,True
sz.301448,开创电气,2026-01-19,51.31,60,2.1,-5.61,A级,35,True,True,True,3.33,True
sz.301448,开创电气,2026-01-21,47.68,80,2.21,-13.3,C级,15,True,True,True,2.27,True
sz.300357,我武生物,2026-01-07,30.58,60,2.01,-0.97,A级,45,True,True,True,5.0,True
sh.600821,金开新能,2026-01-13,5.35,80,2.72,0.06,A级,30,True,True,True,3.18,True
sh.600821,金开新能,2026-01-14,5.33,65,3.09,-0.38,A级,30,True,True,True,3.94,True
sh.600821,金开新能,2026-01-15,5.4,65,2.16,0.1,A级,35,True,True,True,2.59,True
sz.300559,佳发教育,2025-12-18,12.11,60,2.22,-4.78,A级,35,True,True,True,2.64,True
sz.300559,佳发教育,2025-12-22,11.99,80,2.61,-4.94,A级,35,True,True,True,7.51,True
sh.600035,楚天高速,2025-10-24,4.11,65,2.31,0.4,C级,10,True,True,True,2.19,True
sz.301317,鑫磊股份,2025-04-16,19.43,80,2.08,-0.97,B级,20,True,True,True,21.46,True
sz.300258,精锻科技,2025-12-05,13.71,80,2.19,-2.14,A级,45,True,True,True,3.28,True
sz.002640,跨境通,2025-04-17,3.77,80,2.9,-7.79,B级,25,True,True,True,22.28,True
sz.002640,跨境通,2025-04-18,3.46,65,2.06,-10.51,C级,10,True,True,True,33.24,True
sz.002640,跨境通,2025-12-26,4.6,60,2.3,-0.59,B级,20,True,True,True,3.91,True
sh.601009,南京银行,2025-04-09,10.25,65,2.06,-0.47,B级,20,True,True,True,2.83,True
sz.300641,正丹股份,2026-01-07,18.17,80,2.14,-4.84,A级,45,True,True,True,11.39,True
sz.300470,中密控股,2025-11-06,37.25,60,2.86,0.24,A级,30,True,True,True,3.84,True
sz.300340,科恒股份,2025-11-03,14.37,80,2.18,-5.7,A级,35,True,True,True,5.15,True
sz.300383,光环新网,2025-12-11,13.28,80,2.73,-2.02,A级,45,True,True,True,2.33,True
sh.688351,微电生理,2025-10-23,22.24,60,2.12,-2.21,A级,35,True,True,True,6.61,True
sz.300489,光智科技,2025-07-31,40.84,65,2.16,-6.1,B级,25,True,True,True,5.68,True
sz.301312,智立方,2025-11-27,47.94,80,2.41,-3.88,A级,35,True,True,True,5.55,True
sz.301312,智立方,2025-11-28,49.19,80,2.97,-1.83,A级,35,True,True,True,2.87,True
